entity,frequency
Ulrich,71612
Eastwood,57408
Clearwater,47572
Greenwood,103911
Longford,10061
Prospect,89133
Providence,249658
Devotion,20995
Kinsale,4486
Starboard,7497
Xenon,18689
Keystone,96813
Helix,34874
Xia Li,475
Jericho,52226
Future Foundation,1760
Quentin Tarantino,26108
Azimuth,5873
Digital Domain,2030
Northwind,5054
Quicksilver,15624
Xalapa,2217
Fair Haven,2846
Urvashi Prasad,10
Northbrook,9393
Stillwater,24792
Xerxes,11062
Kingsley,47659
New Dawn,6265
Grandview,10953
Placid,18619
Celestia,10369
Knighton,8854
New Leaf,5530
Nightingale,40549
Knightly,4119
Fallowfield,2281
Rivercrest,429
Ruby Ridge,3552
Depths,14075
Crestwood,5927
Riverview,15514
Arcanum,3928
Jett,18826
Rosewood,18957
Blackwing,2213
Idlewyld,42
Trellis,5230
Lockwood,34894
Tanglewood,7254
Xander Bogaerts,4173
Ponderosa Pines,464
Verity,14519
Drakestone,28
Westridge,1778
Hearthstone,17139
Starfield,2323
Luminara,683
Zenon,5718
Ravenwood,2227
Shadow Dancer,560
Quasar,11839
Ivory Tower,5133
Newhaven,4551
Pilgrim s Rest,226
Kingwood,4978
Blackrock,10257
Darkwater,826
Nightfall,8278
Quicksilver Messenger Service,1024
Xiaodan Liang,110
Yellow Springs,5441
Xylem,2800
Qiang Li,750
Thanh Nguyen,1454
Whispering Pines,1610
Yesteryear,2476
Palisade,5618
Highspire,341
Joaquin Navarro,317
Dalia Hassan,46
Altamira,5762
Woodmere,2639
Brambleton,401
Briarwood,3165
Midwood,3351
Briarcliff,3487
Maplewood,11687
Ironwood,6674
Silverleaf,942
Lumina Foundation,1005
Georgios Papadopoulos,215
Cimex lectularius,1406
Northshore,4239
Minh Hoang,215
Xanthus,1295
Xanthoria,426
Xana,657
Didelphis virginiana,965
Reverie,5341
Ziona,1212
Xandria,437
Pineridge,331
Intervale,1089
Aquaria,3527
Horizon Dynamics,13
Yellowwood,400
Hearthglen,94
Copperfield,12616
Stormwatch,1178
Ashbourne,3856
Harborview,5855
Nightveil,260
Maplebrook,121
Highland Moor,4
Binh Nguyen,229
Floodplain,2581
Limberlost,606
Firewood,5447
Devil s Backbone,903
Ullswater,1473
Valentin Petrov,70
Crimson Peak,1754
Digital Detox Retreat,8
Timberline,5534
Xorn,474
Hailstone,1015
Windswept,2272
Nkosazana Dlamini,1781
Beyond Boundaries,600
Lotus Lake,181
Vertex Venture,83
Willem Roelofs,50
Northglenn,1458
Greensward,374
Highrock,172
Redwater,940
Akihiko Taniguchi,19
Verdigris,1426
Lone Oak,805
Silvergate,559
Goldengrove,241
Kingsborough,1578
Stanislav Kuznetsov,13
Quinn Gallagher,26
Whisperwind,383
Silverpine,414
Quicksand,4958
Coccothraustes vespertinus,149
Valoria,136
Ewan MacGregor,346
Ravinder Singh,670
Curtis Jackson,1183
Legacy League,154
Everlight,327
World Aquatics Championships,5206
Xyleria,4
Tempest Keep,398
Overbrook,2974
Jiri Svoboda,333
Prime Point,56
Xiao Wei,464
Darkmoor,202
Concord Consortium,130
Avidor,340
Mistwood,182
Crystaline,223
Northhaven,40
Ferngully,302
Thornfield,1215
Bloom Brigade,29
Crystal Falls,695
Quail Run,457
Joon Kim,1064
Deephaven,429
Cynomys ludovicianus,397
Moonwatch,406
Kiran Rao,718
Blue Yonder,1044
Osvaldo Ferrari,19
Silver Summit,164
Harpreet Singh,929
Cephalanthera longifolia,50
Kalinda Sharma,267
Arcane Academy,51
Goldleaf,303
Elderwood,348
