seed,buildup,climax,resolution,outlook
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"One hour later, Amy still had not found a dress that she liked and was very frustrated. Jenny reassured her that she would find the dress she wanted and bought her a drink to calm her down.","With Jenny's help, Amy finally found that dress ideal for the formal. Amy was very happy and very thankful for Jenny's time.","Amy decided that Jenny was a friend that she could rely on and if Jenny ever needs help in anything, she will do whatever she can."
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"One hour later, Amy still had not found a dress that she liked and was very frustrated. Jenny reassured her that she would find the dress she wanted and bought her a drink to calm her down.","At the end, Amy still could not find a dress that she liked and blamed Jenny for it. Jenny was hurt.","Jenny thought to herself that if Amy needs a favor again, she will not be this nice again."
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"One hour later, Amy still had not found a dress that she liked and was very frustrated. Jenny reassured her that she would find the dress she wanted and bought her a drink to calm her down.",Jenny told her to make up her mind soon. Amy took the first dress Jenny suggested.,Amy was happy with Jenny's suggestion and will value her input more.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"One hour later, Amy still had not found a dress that she liked and was very frustrated. Jenny reassured her that she would find the dress she wanted and bought her a drink to calm her down.","Amy relaxed and kept shopping with Jenny. It took awhile, but Amy found a dress.",Amy was glad Jenny was so patient with her and admire her personality.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"One hour later, Amy still had not found a dress that she liked and was very frustrated. Jenny reassured her that she would find the dress she wanted and bought her a drink to calm her down.","After taking some time to calm down, they went into another store they had not been in.  This time, Amy found the perfect dress that she needed.",Amy was thankful to have such a good friend in Jenny and will appreciate her help when she is stressed on future occasions.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"At the third shop that they stopped by, Amy tried on a lace dress that she thought really fitted her and asked Jenny for opinions. Jenny casually replied that it did not look good because Amy was too fat.",Amy is very self-conscious and was very hurt by her comment but she decided not to tell Jenny how she felt. She quickly put the dress back and told Jenny that she had changed her mind to buy a dress another day and Jenny did not suspect a thing.,Amy figured that Jenny is very insensitive and gradually distance herself from Jenny.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"At the third shop that they stopped by, Amy tried on a lace dress that she thought really fitted her and asked Jenny for opinions. Jenny casually replied that it did not look good because Amy was too fat.",Amy was immediately triggered but did not want to act rashly in public so she dragged Jenny out of the shop and told her she did not like Jenny's comment. Jenny did not want to make a big fuss over this so she apologized to Amy even though she thought Amy was too sensitive.,Amy was quickly over this incident but Jenny started to think that Amy is not fun to hang out with and never agreed to hang out with Amy again.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"At the third shop that they stopped by, Amy tried on a lace dress that she thought really fitted her and asked Jenny for opinions. Jenny casually replied that it did not look good because Amy was too fat.",Amy was upset by the comment and quickly told Jenny they were to leave. Amy started taking weight loss classes and eventually developed a much better body shape. ,"Even though Amy did not talk to Jenny again since the incident, she was actually grateful for Jenny’s comment which really motivated her to lose weight."
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"At the third shop that they stopped by, Amy tried on a lace dress that she thought really fitted her and asked Jenny for opinions. Jenny casually replied that it did not look good because Amy was too fat.",Amy’s mood was immediately dampened and Jenny noticed it and realized that she was misunderstood — she was just trying to say that all these dresses did not fit Amy. Jenny was very afraid of losing Amy as a friend and offered to design a dress just for her and Amy was satisfied at her work.,Amy learned that Jenny is a very kind person so she decided to embrace her sometimes way too candid personality and stay close friends with her.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"At the third shop that they stopped by, Amy tried on a lace dress that she thought really fitted her and asked Jenny for opinions. Jenny casually replied that it did not look good because Amy was too fat.",Amy was bothered by Jenny's comment. Jenny pointed out it made her look bad.,Amy accepted Jenny knew what she was talking about and appreciated her honesty and know where to seek candid opinions when she needs them.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Before Amy went to the fitting room with a pile of dresses, she urged Jenny to try on a few dresses too. She later on bought a dress that Jenny really liked for Jenny as a gift.",Jenny mistook it as Amy’s sympathy — she thought that Amy thinks she could not afford it. She refused the gift coldly and said they should leave if Amy was done.,Amy was confused why Jenny was so cold to her all of a sudden but decided to leave it the way it is.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Before Amy went to the fitting room with a pile of dresses, she urged Jenny to try on a few dresses too. She later on bought a dress that Jenny really liked for Jenny as a gift.",Jenny was surprised and happily accepted the gift. She also suggested that they should have a photoshoot in their new dresses when the weather is nice and Amy said it was a wonderful idea.,They appreciate each other as friends even more after this and always find opportunities to spend time and have fun together.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Before Amy went to the fitting room with a pile of dresses, she urged Jenny to try on a few dresses too. She later on bought a dress that Jenny really liked for Jenny as a gift.","Jenny was shocked because she was not serious about she liking the dress. However, she did not want Amy to feel bad and actually appreciated her trying to pay her back so she accepted it.",Jenny started to be more careful about what she said around Amy but she indeed felt closer to Amy after this.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Before Amy went to the fitting room with a pile of dresses, she urged Jenny to try on a few dresses too. She later on bought a dress that Jenny really liked for Jenny as a gift.",Amy gave the dress to Jenny. Jenny squealed and thanked her.,Amy and Jenny went to the dance and had a great time.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Before Amy went to the fitting room with a pile of dresses, she urged Jenny to try on a few dresses too. She later on bought a dress that Jenny really liked for Jenny as a gift.",Jenny was very surprised when she received the dress. She was very pleased that Amy would think of her when she was shopping for herself.,Jenny and Amy had a strong relationship and Jenny looked for ways to think of her friend Amy ahead of herself also.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Amy chose a few dresses to try on but Jenny had a lot of criticism for every one of them. After a while, Amy was fed up with being carped at by Jenny's critics and suggested that Jenny picking a dress for her.","Jenny was also triggered and said, “If you want me to help you, you should be more polite!”. Amy angrily burst out, “I don’t need your help then” and angrily left.",Neither of them wanted to approach the other and talk it through so this incident broke their friendship as they never see eye-to-eye again.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Amy chose a few dresses to try on but Jenny had a lot of criticism for every one of them. After a while, Amy was fed up with being carped at by Jenny's critics and suggested that Jenny picking a dress for her.","Jenny happily agreed and selected a few dressed for Amy but Amy did not like any of them. Jenny was really frustrated — “If you don’t want to listen to my advice, don’t ask me for it.” Amy needed up not getting a dress.","Since then, Jenny dodged all Amy’s requests of asking for advice because she think that she is not going to be taken seriously."
